,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists
12956,318725006,2,1,1,0,0,1,0,15,1,1,14,11
12957,396221331,43,17,21,19,2,1,0,13996,815,399,177,399
12958,228318099,5,2,2,0,1,2,0,899,29,49,40,60
12959,347659160,1,0,1,0,0,0,0,223,11,10,6,4
12960,1233214363,1,0,0,1,0,0,0,87,7,7,4,1
12961,98589595,2,0,0,0,0,0,2,14,1,4,25,8
12962,119987104,6,0,4,1,1,0,0,472,42,15,17,3
12963,426846736,1,0,1,0,0,0,0,21,1,3,9,2
12964,93543330,5,1,0,1,3,1,0,434,24,15,19,35
12965,94264227,50,32,0,3,37,8,2,8998,336,223,263,741
12966,1106336680,72,38,13,33,18,1,7,13135,453,684,366,924
12967,191290281,199,109,180,13,2,1,3,71172,1637,1728,612,1675
12968,201022376,2,1,1,1,0,0,0,308,39,11,13,23
12969,78273451,1,0,0,1,0,0,0,186,4,6,6,7
12970,1068489645,3,1,2,1,0,0,0,872,37,32,17,29
12971,124148653,12,8,0,0,1,10,1,879,35,63,89,229
12972,481156018,97,42,3,5,7,12,70,7272,336,394,761,1240
12973,225598387,1,0,0,0,0,0,1,6,0,1,6,3
12974,974445492,7,5,2,3,1,0,1,1807,110,107,34,76
12975,124476340,2,1,0,0,0,0,2,40,8,4,10,24
12976,221666230,471,299,73,311,83,1,3,119990,5362,3566,1663,5266
12977,242965432,1,0,1,0,0,0,0,375,10,7,5,7
12978,113826746,1,0,1,0,0,0,0,174,7,11,4,6
12979,433314747,19,8,0,4,0,5,10,1296,89,51,144,237
12980,931978173,1,0,0,1,0,0,0,113,15,0,5,0
12981,153770944,5,4,0,2,3,0,0,573,53,23,27,85
12982,101669826,2,1,1,0,1,0,0,539,20,22,12,25
12983,174021571,2,0,0,0,0,0,2,117,5,13,32,31
12984,118578116,3,2,0,2,1,0,0,379,34,18,4,44
12985,363191237,1,0,0,0,0,0,1,23,4,1,9,5
12986,1013734341,2,0,0,2,0,0,0,297,11,7,20,21
12987,362404802,5,3,0,0,0,3,2,136,13,17,21,52
12988,1008589768,4,1,0,0,0,2,2,197,13,10,35,43
12989,900881353,2,2,0,0,0,0,2,122,0,6,10,38
12990,402349000,2,1,2,0,0,0,0,531,24,33,7,12
12991,341171145,1,0,0,0,1,0,0,89,1,3,9,4
