,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists,Unnamed: 0,name,estimate_mmr,solo_competetive_rank,leaderboard_rank,calculated_position
525,100311765,70,44,49,17,3,0,1,254.44285714285715,15.285714285714286,8.414285714285715,3.0285714285714285,8.642857142857142,514,zxc,5848.0,6859.0,327.0,1.0
715,149008268,70,24,0,3,7,52,8,78.47142857142858,1.7857142857142858,3.8285714285714287,5.414285714285715,11.614285714285714,1224,AliyaH!!,5371.0,,474.0,4.0
1198,906941247,70,38,38,22,9,1,0,258.37142857142857,11.657142857142857,6.371428571428571,3.442857142857143,8.728571428571428,2365,Gibkiy,7583.0,,499.0,1.0
294,84677534,69,31,2,15,26,22,4,139.14492753623188,6.739130434782608,4.753623188405797,6.159420289855072,11.217391304347826,252,Sono,5288.0,6235.0,310.0,3.0
1443,153609394,69,34,0,0,4,59,6,41.63768115942029,1.8115942028985508,3.681159420289855,6.27536231884058,13.289855072463768,1263,Destroyer^^|,4983.0,,135.0,4.0
1786,90373262,69,38,0,0,0,5,64,27.492753623188406,0.927536231884058,2.63768115942029,5.536231884057971,14.27536231884058,2467,Hajadlo,6267.0,6927.0,707.0,5.0
1347,256269737,69,32,2,0,7,19,41,61.68115942028985,3.8550724637681157,3.1884057971014492,7.507246376811594,12.652173913043478,1838,julz,5926.0,,231.0,5.0
200,126323933,69,32,0,0,5,52,12,74.98550724637681,4.666666666666667,4.159420289855072,6.927536231884058,13.101449275362318,987,Efking,5845.0,6720.0,481.0,4.0
285,207983361,69,31,6,4,2,6,51,66.44927536231884,3.217391304347826,3.3768115942028984,6.130434782608695,12.405797101449275,1685,SeeL,6180.0,6866.0,49.0,5.0
1083,200362560,68,29,8,44,16,0,0,238.10294117647058,8.558823529411764,7.588235294117647,4.117647058823529,8.838235294117647,1640,Gwynbleidd,7201.0,,170.0,2.0
691,156544464,68,35,0,0,1,4,63,42.6764705882353,2.6029411764705883,2.75,5.926470588235294,13.235294117647058,1289,Tsyman,6691.0,,692.0,5.0
1413,103834233,68,32,14,24,27,2,1,199.02941176470588,9.588235294117647,6.705882352941177,4.544117647058823,10.088235294117647,603,carlin,5468.0,6205.0,467.0,3.0
